REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
LES-HAUTS-DE-FRANCE;NORD;59178;DOUAI;148;2458772;9626;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59183;DUNKERQUE;263;2360639;8222;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59279;HALLUIN;53;2343109;8025;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59295;HAZEBROUCK;100;2476886;10649;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59368;LAMADELEINE;169;2806195;10995;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59328;LAMBERSART;264;2723507;11483;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59350;LILLE;973;2705935;10728;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59378;MARCQENBAROEUL;815;3379017;14382;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59512;ROUBAIX;137;3123752;14017;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59599;TOURCOING;117;2212724;7711;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59606;VALENCIENNES;188;2364520;9104;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59009;VILLENEUVED'ASCQ;379;3471024;15651;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59646;WASQUEHAL;234;3181588;13831;;;;;;;
LES-HAUTS-DE-FRANCE;OISE;60057;BEAUVAIS;168;2818031;11533;;;;;;;
LES-HAUTS-DE-FRANCE;OISE;60159;COMPIEGNE;340;2769533;10912;;;;;;;
LES-HAUTS-DE-FRANCE;PAS-DE-CALAIS;62041;ARRAS;178;2370878;8108;;;;;;;
LES-HAUTS-DE-FRANCE;PAS-DE-CALAIS;62119;BETHUNE;107;2591497;11518;;;;;;;
LES-HAUTS-DE-FRANCE;PAS-DE-CALAIS;62160;BOULOGNESURMER;73;2437449;9229;;;;;;;
LES-HAUTS-DE-FRANCE;PAS-DE-CALAIS;62193;CALAIS;92;2477918;10303;;;;;;;
LES-HAUTS-DE-FRANCE;PAS-DE-CALAIS;62498;LENS;60;2617825;10540;;;;;;;
LES-HAUTS-DE-FRANCE;SOMME;80001;ABBEVILLE;72;2594570;7555;;;;;;;
LES-HAUTS-DE-FRANCE;SOMME;80021;AMIENS;512;2774534;11065;;;;;;;
ILE-DE-FRANCE;ESSONNE;91027;ATHISMONS;73;2441131;10964;;;;;;;
ILE-DE-FRANCE;ESSONNE;91103;BRETIGNYSURORGE;51;2307521;9127;;;;;;;
ILE-DE-FRANCE;ESSONNE;91114;BRUNOY;166;2401319;9882;;;;;;;
ILE-DE-FRANCE;ESSONNE;91174;CORBEILESSONNES;53;2803198;10127;;;;;;;
ILE-DE-FRANCE;ESSONNE;91201;DRAVEIL;128;2474554;8964;;;;;;;
ILE-DE-FRANCE;ESSONNE;91223;ETAMPES;66;2533716;10541;;;;;;;
