REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
NOUVELLE-AQUITAINE;PYRENEES-ATLANTIQUES;64102;BAYONNE;101;2058910;7212;
NOUVELLE-AQUITAINE;PYRENEES-ATLANTIQUES;64122;BIARRITZ;248;2151391;8294;
NOUVELLE-AQUITAINE;PYRENEES-ATLANTIQUES;64445;PAU;98;1866316;6331;
NOUVELLE-AQUITAINE;VIENNE;86194;POITIERS;89;1910956;6673;
OCCITANIE;GARD;30189;NIMES;191;1946839;6985;
OCCITANIE;HAUTE-GARONNE;31555;TOULOUSE;1059;2121530;7751;
OCCITANIE;HAUTE-GARONNE;31557;TOURNEFEUILLE;60;2107971;7995;
OCCITANIE;HERAULT;34032;BEZIERS;81;2157151;8603;
OCCITANIE;HERAULT;34172;MONTPELLIER;431;2045658;7498;
OCCITANIE;HERAULT;34301;SETE;92;2066570;7657;
OCCITANIE;PYRENEES-ORIENTALES;66136;PERPIGNAN;133;2095775;7949;
OCCITANIE;TARN;81004;ALBI;57;1904905;6335;
OCCITANIE;TARN-ET-GARONNE;82121;MONTAUBAN;73;1960580;6753;
PAYSDELALOIRE;LOIRE-ATLANTIQUE;44109;NANTES;794;2140607;7958;
PAYSDELALOIRE;LOIRE-ATLANTIQUE;44114;ORVAULT;51;1908584;6419;
PAYSDELALOIRE;MAINE-ET-LOIRE;49007;ANGERS;161;1888116;5968;
PAYSDELALOIRE;MAYENNE;53130;LAVAL;63;2560262;11653;
PAYSDELALOIRE;SARTHE;72181;LEMANS;155;2077604;7645;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06004;ANTIBES;394;2132425;8142;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06027;CAGNESSURMER;147;1934161;6906;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06029;CANNES;617;2717619;12171;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06030;LECANNET;145;2181148;8689;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06069;GRASSE;124;2124915;8550;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06079;MANDELIEULANAPOULE;126;2306393;9953;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06083;MENTON;89;1819351;5246;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06088;NICE;1176;2232605;8519;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06123;SAINTLAURENTDUVAR;83;2049307;8469;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06155;VALLAURIS;163;2094726;7854;
PROVENCE-ALPES-COTED'AZUR;ALPES-MARITIMES;06900;MONACO;581;3876176;28646;
PROVENCE-ALPES-COTED'AZUR;BOUCHES-DU-RHONE;13001;AIXENPROVENCE;830;2094583;7528;
PROVENCE-ALPES-COTED'AZUR;BOUCHES-DU-RHONE;13004;ARLES;67;1849269;6213;
